name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified
Fofana,DEF,Chelsea,0.0,0,0,0,0,0.0,189,0.0,0.0,0.0,0.0,234,0,0,0.0,0.0,2025-02-03T20:00:00Z,0,19,0,0,0,0,24,0,28903,0,1,2,0.0,0,-396,14,410,44,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
McKenna,AM,Ipswich,1.5,0,0,0,0,0.0,743,0.0,0.0,0.0,0.0,236,0,0,0.0,0.0,2025-02-01T15:00:00Z,0,17,0,0,0,0,24,0,2696,0,2,1,0.0,1,-123,142,265,5,True,0,24,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False
Digne,DEF,Aston Villa,3.2,0,0,3,0,12.3,36,0.01,0.01,0.0,1.44,240,1,0,2.0,8.0,2025-02-01T17:30:00Z,45,20,0,0,0,0,24,0,774039,1,0,2,0.0,1,480,34293,33813,46,False,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Hill,GK,Brighton,-0.5,0,0,0,0,0.0,668,0.0,0.0,0.0,0.0,239,0,0,0.0,0.0,2025-02-01T12:30:00Z,0,16,0,0,0,0,24,0,136542,0,0,7,0.0,0,-1899,1368,3267,39,False,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Vicario,GK,Spurs,0.0,0,0,0,0,0.0,508,0.0,0.0,0.0,0.0,233,0,0,0.0,0.0,2025-02-02T14:00:00Z,0,4,0,0,0,0,24,0,180323,0,2,0,0.0,0,-2883,93,2976,48,False,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Winterburn,MID,Bournemouth,-0.3,0,0,0,0,0.0,687,0.0,0.0,0.0,0.0,232,0,0,0.0,0.0,2025-02-01T15:00:00Z,0,12,0,0,0,0,24,0,1161,0,2,0,0.0,0,82,210,128,45,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Fraser,FWD,Wolves,0.0,0,0,0,0,0.0,546,0.0,0.0,0.0,0.0,240,0,0,0.0,0.0,2025-02-01T17:30:00Z,0,2,0,0,0,0,24,0,127108,0,0,2,0.0,0,-2477,0,2477,45,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
De Ligt,DEF,Man Utd,1.2,0,0,-1,0,1.1,593,0.01,0.01,0.0,0.56,237,1,0,0.2,1.2,2025-02-02T14:00:00Z,8,7,0,0,0,0,24,0,368510,0,2,0,0.0,1,-9289,3217,12506,49,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Hinshelwood,MID,Brighton,-0.3,0,0,4,0,3.7,126,0.02,0.07,0.05,0.99,239,3,0,1.4,5.2,2025-02-01T12:30:00Z,45,16,0,0,0,0,24,0,5357,1,0,7,5.0,0,-26,47,73,49,False,1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Semenyo,MID,Bournemouth,6.5,0,0,-1,0,5.3,78,0.07,0.77,0.7,2.52,232,2,0,9.2,19.8,2025-02-01T15:00:00Z,90,12,0,0,0,0,24,0,757649,1,2,0,67.0,2,40796,81509,40713,56,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Dennis,GK,Bournemouth,-0.5,0,0,0,0,0.0,599,0.0,0.0,0.0,0.0,232,0,0,0.0,0.0,2025-02-01T15:00:00Z,0,12,0,0,0,0,24,0,36479,0,2,0,0.0,0,-642,248,890,40,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Hutchinson,MID,Ipswich,2.5,0,0,11,0,17.9,274,0.05,0.2,0.15,0.91,236,2,0,5.3,14.2,2025-02-01T15:00:00Z,90,17,0,0,0,0,24,0,40884,1,2,1,21.0,2,8568,10897,2329,52,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Scarlett,FWD,Spurs,0.0,0,0,2,0,1.0,500,0.0,0.0,0.0,0.46,233,0,0,0.1,0.0,2025-02-02T14:00:00Z,11,4,0,0,0,0,24,0,6107,0,2,0,0.0,1,-118,0,118,45,False,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
McNeil,MID,Everton,0.0,0,0,0,0,0.0,230,0.0,0.0,0.0,0.0,235,0,0,0.0,0.0,2025-02-01T15:00:00Z,0,11,0,0,0,0,24,0,147087,0,0,4,0.0,0,-7539,93,7632,51,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
McNeil,MID,Everton,0.0,0,0,0,0,0.0,230,0.0,0.0,0.0,0.0,144,0,0,0.0,0.0,2025-02-12T19:30:00Z,0,12,0,0,0,0,24,0,147087,0,2,2,0.0,0,-7539,93,7632,51,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
